title| body| state| number| assingnee| labels| milestone
CalculatorManager has unused and untested static Serialize/Deserialize functions|"**Describe the change request**It appears as if CalculatorManager still contains unused serialization code similar to those described in #370.If this is intentional due to code outside of the git repo using the serialization code, feel free to close this issue.**Potentially unused functions**- CalculatorManager::SerializeRational- CalculatorManager::DeSerializeRational- CalculatorManager::SerializeNumber- CalculatorManager::DeSerializeNumber**Requested Assignment**If possible, I would like to fix this."|open|857|undefined|[{"id":1243467235,"node_id":"MDU6TGFiZWwxMjQzNDY3MjM1","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20needed","name":"triage needed","color":"e99695","default":false,"description":""}]|null
Update GraphingCalculator Mock and Nuget to allow official builds|"## Fixes part of #338 .### Description of the changes:- Updated the MockGraphingImpl project to be called GraphingImpl- Updated the nuget.config to include the WindowsApps Microsoft feed-### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->- Tested manually"|open|852|mcooley|[{"id":1469281537,"node_id":"MDU6TGFiZWwxNDY5MjgxNTM3","url":"https://api.github.com/repos/microsoft/calculator/labels/graphing%20calculator","name":"graphing calculator","color":"51dee2","default":false,"description":"Work items related to the graphing calculator feature."}]|null
Inconsistent operand order for logarithm to base x|"- Behavior of logarithm to base xThe first operand entered (or previous result) is the base, the second operator is the anti-logarithm (i.e. the number of which the logarithm is calculated).e.g.: '16   base log   2' yields 0.25 instead of the expected value 4.- Behavior of similar operatorsFor exponentiation (x<sup>y</sup>) the first operand is the base and the second operand is the exponent.For the n-th root (x<sup>1/y</sup>) the first operand is the radicand and the second operand is the index.The behavior of the logarithm (log<sub>x</sub>(y)) is inconsistent to similar binary operators and also to the GUI, which shows log<sub>y</sub>(x). Furthermore this behavior does not allow to take the logarithm to base x of a previous result."|open|851|undefined|[{"id":1243467235,"node_id":"MDU6TGFiZWwxMjQzNDY3MjM1","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20needed","name":"triage needed","color":"e99695","default":false,"description":""}]|null
Add Graph Settings|"Adds a settings button which controls a flyout panel allowing the user to control the graph extents and the trig unit mode.### Description of the changes:New control--### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->Manual, build debug/release."|open|847|undefined|[{"id":1469281537,"node_id":"MDU6TGFiZWwxNDY5MjgxNTM3","url":"https://api.github.com/repos/microsoft/calculator/labels/graphing%20calculator","name":"graphing calculator","color":"51dee2","default":false,"description":"Work items related to the graphing calculator feature."}]|null
Remove adjustment from local time|"## Fixes #792.### Description of the changes:It looks like the CalendarDatePicker control now provides a UTC Date as the value, making it so the conditions in #557 do not apply anymore. The conversion from local time actually pushes the date forward a day. Changes due to #557 are reverted here.### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->Tested Manually"|open|834|rudyhuyn|[{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1265286666,"node_id":"MDU6TGFiZWwxMjY1Mjg2NjY2","url":"https://api.github.com/repos/microsoft/calculator/labels/fixing%20approved%20issue","name":"fixing approved issue","color":"bfe5bf","default":false,"description":""}]|null
Remove EquationTextBox from KeyGraphFeaturesPanel|"### Description of the changes:- Replace the templatized EquationTextBox in KeyGraphFeaturesPanel with a MathTextBoxAlso:- Give focus to the back button when the user opens the panel- move styles only used by Graph Calculator from App.xaml.cs to EquationInputArea/GraphingCalculator to improve startup time- NIT: make the names of events used by the EquationInputArea control uniform.- simplify KeyGraphFeaturesPanel- simplify the XAML code of the toggle button used in EquationTextBox### How changes were validated:- manually"|open|833|joseartrivera|[{"id":1273734578,"node_id":"MDU6TGFiZWwxMjczNzM0NTc4","url":"https://api.github.com/repos/microsoft/calculator/labels/codebase%20quality","name":"codebase quality","color":"E6B33D","default":false,"description":"Issues that are not bugs, but still might be worth improving (eg, code hygiene or maintainability)"},{"id":1469281537,"node_id":"MDU6TGFiZWwxNDY5MjgxNTM3","url":"https://api.github.com/repos/microsoft/calculator/labels/graphing%20calculator","name":"graphing calculator","color":"51dee2","default":false,"description":"Work items related to the graphing calculator feature."}]|null
High contrast|"Set the colors for the elements of Graphing Calculator in high contrast mode."|open|832|rudyhuyn|[{"id":1469281537,"node_id":"MDU6TGFiZWwxNDY5MjgxNTM3","url":"https://api.github.com/repos/microsoft/calculator/labels/graphing%20calculator","name":"graphing calculator","color":"51dee2","default":false,"description":"Work items related to the graphing calculator feature."}]|null
GraphControl: refactoring and optimizations|"### Description of the changes:Full refactoring of `Equation` to use only normal properties instead of dependency propertiesRefactor GraphingControl- The EquationViewModel used for KeyGraphFeatures is now hosted by `GraphingCalculatorViewModel` instead of `GraphControl`Refactor VariableViewModel to not use PropertyChanged as an internal event  - modify Min and Max even when Value is modified using the property  - remove OBSERVABLE_OBJECT_CALLBACK(OnPropertyChanged)  - replace the property `Value` and the method `SetValue`  - replace OBSERVABLE_PROPERTY_RW_ALWAYS_NOTIFY by OBSERVABLE_PROPERTY_RW  - extract `VariableViewModel` from `GraphingCalculatorViewModel.cpp`Also- use a `Color` instead of a `SolidColorBrush` for LineColor allowing us to remove the workaround using a blankBrush in `EquationInputArea`        equationViewModel->LineColor = AvailableColors->GetAt(m_lastLineColorIndex);- extract `KeyGraphFeatures` from `Equation`- made many properties read-only- rename `EquationInputAreaControl.EquationVM` as `EquationInputAreaControl.SelectedEquation`- replace `GraphControl::PropertyChangedEventHandler` by the standard `PropertyChangedEventHandler`### How changes were validated:- manually"|open|831|joseartrivera|[{"id":1469281537,"node_id":"MDU6TGFiZWwxNDY5MjgxNTM3","url":"https://api.github.com/repos/microsoft/calculator/labels/graphing%20calculator","name":"graphing calculator","color":"51dee2","default":false,"description":"Work items related to the graphing calculator feature."}]|null
[Graph] Replace the Add button by a EquationTextBlock|"## Description of the changes:- Replace the Add button by a 'ghost' EquationTextBlock- Automatically create a new equation when     - the user presses Enter when the last EquationTextBox is focused    - the last EquationTextBox loses the focus and the value has been modified- Give the focus to the next equation when users press enterAlso- Make sure the background of the `RichEditBox` is aligned with the Function Button- Prevent the user to remove the `fake` `EquationTextBlock` ### How changes were validated:- Manually with all themes and high contrast"|open|826|joseartrivera|[{"id":1469281537,"node_id":"MDU6TGFiZWwxNDY5MjgxNTM3","url":"https://api.github.com/repos/microsoft/calculator/labels/graphing%20calculator","name":"graphing calculator","color":"51dee2","default":false,"description":"Work items related to the graphing calculator feature."}]|null
Fix prefix 0s after deleting decimal point|"## Fixes #817 .### Description of the changes:- Added a verification if the remaining data is 0 only, and then pop this 0 out.- 2 Tests corresponding### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->- Added an `UITest` and an `UnitTest`Additional note: My respond may delay because I can't use git(hub) on weekdays."|open|825|rudyhuyn|[{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1265286666,"node_id":"MDU6TGFiZWwxMjY1Mjg2NjY2","url":"https://api.github.com/repos/microsoft/calculator/labels/fixing%20approved%20issue","name":"fixing approved issue","color":"bfe5bf","default":false,"description":""}]|null
